*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ornamentv3_2e_encoders
*Date=08:58:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
259;;;53.0371;-46.7172;-20;Bottom;IMG2
260;;;12.2809;-58.217;0;Bottom;Copper Fill169
261;;;31.2166;-28.4482;0;Bottom;Copper Fill289
262;;;15.6972;-13.0939;0;Bottom;Copper Fill19
263;220;0805 [SMD];42.1482;-54.7176;-90;Bottom;470n
264;;;33.7481;-18.9262;0;Bottom;Hole8
265;;;29.1482;-34.2825;0;Bottom;Via148
266;;;27.8765;-75.9462;0;Bottom;Copper Fill160
267;;;59.1693;-29.8198;0;Bottom;Copper Fill126
268;;300 mil [THT];61.7482;-69.5981;-90;Bottom;D2
269;;;14.8483;-42.5826;0;Bottom;Via46
270;;;27.7749;-81.1532;0;Bottom;Copper Fill156
271;;;22.8346;-41.1228;0;Bottom;Copper Fill275
272;;;33.8483;-79.7826;0;Bottom;Via168
273;;;53.6829;-41.961;0;Bottom;Copper Fill173
274;;;43.1673;-82.3724;0;Bottom;Copper Fill118
275;;;43.1709;-93.3474;0;Bottom;Hole15
276;;;22.3266;-98.0442;0;Bottom;Copper Fill201
277;;SOT-23 [SMD];7.45828;-39.6527;0;Bottom;Q4
278;;;43.5102;-82.0295;0;Bottom;Copper Fill121
279;;;40.9956;-71.4123;0;Bottom;Copper Fill105
280;;;12.827;-66.2307;0;Bottom;Copper Fill124
281;220;0805 [SMD];42.2481;-28.6575;-90;Bottom;100k
282;220;0805 [SMD];30.5627;-21.1075;-90;Bottom;100k
283;;;35.0083;-59.7525;0;Bottom;Via48
284;;;38.3794;-53.8482;0;Bottom;Copper Fill255
285;;;41.4274;-2.337;0;Bottom;Copper Fill305
286;;;42.3483;-45.2827;0;Bottom;Via138
287;;;13.8176;-15.6847;0;Bottom;Copper Fill21
288;;;10.2108;-2.845;0;Bottom;Copper Fill302
289;;;7.03241;-46.2369;0;Bottom;TXT10
290;;;20.9804;-24.4096;0;Bottom;Copper Fill295
291;;;34.6481;-78.9826;0;Bottom;Via167
292;;;40.9956;-43.866;0;Bottom;Copper Fill267
293;220;0805 [SMD];30.3281;-54.7176;-90;Bottom;33k
294;220;0805 [SMD];18.1381;-54.7176;-90;Bottom;33k
295;;;47.7534;-38.7825;0;Bottom;Via175
296;;;54.737;-89.2431;0;Bottom;Copper Fill116
297;;;43.7481;-74.1826;0;Bottom;Via1
298;;;22.8473;-53.6958;0;Bottom;Copper Fill98
299;;;4.24819;-66.3825;0;Bottom;Via134
300;100nF;0805 [SMD, multilayer];54.0232;-90.2826;0;Bottom;100n
301;;;57.8866;-60.2363;0;Bottom;Copper Fill51
302;220;0805 [SMD];36.8483;-43.1575;-90;Bottom;220R
303;;;34.7726;-10.4015;0;Bottom;Copper Fill44
304;;;19.0881;-32.7916;0;Bottom;Copper Fill45
305;;;55.0545;-89.586;0;Bottom;Copper Fill114
306;;;44.958;-32.2836;0;Bottom;Copper Fill291
307;;;29.337;-39.1543;0;Bottom;Copper Fill144
308;;;15.9004;-15.6847;0;Bottom;Copper Fill22
309;;;20.2184;-64.186;0;Bottom;Copper Fill243
310;;;12.3709;-46.801;-148;Bottom;IMG2
311;;;26.5484;-65.9825;0;Bottom;Via50
312;;;30.2483;-66.7826;0;Bottom;Via112
313;;;34.7726;-15.6847;0;Bottom;Copper Fill30
314;;;51.1429;-86.1824;0;Bottom;Copper Fill193
315;;;8.255;-94.6406;0;Bottom;Copper Fill198
316;;PG203J [THT];24.2659;-18.3408;0;Bottom;TR3
317;100nF;0805 [SMD, multilayer];11.5482;-64.1977;90;Bottom;10uf
318;;;5.50474;-7.02604;0;Bottom;Hole10
319;;;52.5018;-84.0234;0;Bottom;Copper Fill215
320;;;21.1582;-83.1598;0;Bottom;Copper Fill209
321;;;27.7749;-82.1184;0;Bottom;Copper Fill155
322;;;14.9047;-18.9262;0;Bottom;Hole6
323;220;0805 [SMD];18.0481;-28.6575;-90;Bottom;220R
324;;;25.3873;-61.1888;0;Bottom;Copper Fill95
325;;;2.1209;-27.864;0;Bottom;Copper Fill80
326;;;2.4384;-27.5211;0;Bottom;Copper Fill83
327;;;23.2664;-15.6847;0;Bottom;Copper Fill25
328;;;32.7406;-43.5358;0;Bottom;Copper Fill271
329;;;42.1005;-64.7956;0;Bottom;Copper Fill100
330;;;14.8483;-41.4825;0;Bottom;Via44
331;;;4.3688;-10.4015;0;Bottom;Copper Fill34
332;;PG203J [THT];5.55084;-7.61498;180;Bottom;CV1
333;;;42.1005;-64.1098;0;Bottom;Copper Fill101
334;;;29.337;-93.6754;0;Bottom;Copper Fill205
335;;;56.1622;-49.7644;0;Bottom;TXT10
336;;;5.6261;-39.0908;0;Bottom;Copper Fill68
337;;;12.2809;-56.4898;0;Bottom;Copper Fill170
338;;;31.4452;-62.4842;0;Bottom;Copper Fill247
339;;;57.0484;-39.7131;0;Bottom;Copper Fill131
340;220;0805 [SMD];35.6731;-33.0827;180;Bottom;100n
341;;;11.4483;-61.1825;0;Bottom;Via108
342;;;31.877;-50.0128;0;Bottom;Copper Fill8
343;;;55.0545;-88.9002;0;Bottom;Copper Fill115
344;;;55.3212;-57.3407;0;Bottom;Copper Fill176
345;;;57.4483;-39.6825;0;Bottom;Via130
346;;;17.3482;-59.5826;0;Bottom;Via45
347;;;22.9483;-60.7826;0;Bottom;Via38
348;;[THT];53.8509;-93.3677;0;Bottom;S5
349;;;39.0482;-57.1827;0;Bottom;Via164
350;;;19.0881;-32.1058;0;Bottom;Copper Fill46
351;;;27.8638;-2.5402;0;Bottom;Copper Fill304
352;;;28.2482;-24.5825;0;Bottom;Via122
353;;;12.5482;-66.1826;0;Bottom;Via133
